country,fifties,sixties,seventies,eighties,nineties,twothousands,twentytens,total
Afghanistan,0,0,0,66,0,399,2483,2948
Albania,0,0,0,0,0,0,10,10
Algeria,0,2,23,583,38,148,56,850
Angola,0,0,0,31,6,0,3,40
Argentina,707,627,1532,179,543,159,96,3843
Australia,669,2231,2975,4831,1844,2619,7999,23168
Austria,156,236,151,204,70,65,1,883
Azerbaijan,0,0,0,0,0,0,5,5
Bahamas,0,0,0,0,5,37,0,42
Bahrain,0,0,1,342,770,453,172,1738
Bangladesh,0,0,22,37,53,61,109,282
Barbados,0,0,0,1,0,0,0,1
Belarus,0,0,0,0,0,0,0,0
Belgium,3752,2031,973,3448,566,131,38,10939
Belize,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0
Biafra,0,4,0,0,0,0,0,4
Bolivia,37,44,63,136,51,18,9,358
Bosnia-Herzegovina,0,0,0,0,87,0,2,89
Botswana,0,0,0,30,29,16,5,80
Brazil,730,1001,1776,576,294,320,486,5183
Brunei,0,2,29,52,30,0,87,200
Bulgaria,0,0,0,0,4,8,6,18
Burkina Faso,0,0,0,0,0,3,0,3
Burundi,0,0,0,0,0,0,4,4
Cambodia,23,26,273,0,0,0,0,322
Cameroon,0,1,57,50,3,0,20,131
Canada,6289,6242,1936,5359,2054,1416,1842,25138
Central African Republic,0,0,0,0,0,9,0,9
Chad,0,0,0,102,0,1,15,118
Chile,411,351,718,88,210,419,445,2642
China,0,0,0,173,39,0,0,212
Colombia,129,319,213,361,472,860,471,2825
Republic of the Congo,0,0,0,0,0,0,1,1
Costa Rica,3,1,10,4,0,0,8,26
Cote d'Ivoire,0,0,5,0,0,0,0,5
Croatia,0,0,0,0,7,55,46,108
Cuba,102,2,0,0,0,0,0,104
Cyprus,0,0,0,0,13,0,0,13
Czechia,0,0,0,0,0,129,6,135
Denmark,1257,1292,452,1877,328,334,316,5856
Djibouti,0,0,0,0,1,0,14,15
Dominican Republic,54,58,24,71,10,48,1,266
Democratic Republic of the Congo,0,183,193,18,0,28,1,423
Ecuador,30,137,204,243,117,3,10,744
Egypt,24,0,516,7198,9189,4752,2530,24209
El Salvador,19,25,53,161,35,29,3,325
Equatorial Guinea,0,0,0,0,0,4,15,19
Estonia,0,0,0,0,4,12,8,24
Ethiopia,51,237,320,0,37,0,20,665
Fiji,0,0,12,0,0,0,0,12
Finland,3,0,9,20,2254,490,370,3146
France,8890,2850,699,292,1494,252,385,14862
Gabon,0,3,94,37,1,0,1,136
The Gambia,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,9,20,29
Germany,5842,16539,11412,2800,3914,974,426,41907
Ghana,0,2,8,3,0,10,8,31
Greece,2250,2534,4093,1718,5601,4337,495,21028
Guatemala,30,55,91,64,21,0,5,266
Guinea,0,0,0,0,0,0,0,0
Guyana,0,0,13,0,0,0,0,13
Haiti,14,16,18,1,0,0,0,49
Honduras,27,22,59,233,0,0,3,344
Hungary,0,0,0,0,0,59,24,83
India,315,200,9,44,21,182,3831,4602
Indonesia,86,393,500,888,265,64,803,2999
Iran,394,3154,21452,64,0,0,0,25064
Iraq,35,0,0,200,0,847,3876,4958
Ireland,0,0,6,14,2,7,0,29
Israel,39,2388,12245,7625,6491,5289,2623,36700
Italy,5566,5207,6478,1642,1184,1623,1895,23595
Jamaica,0,1,30,12,15,5,22,85
Japan,4655,6355,9793,16734,16220,4523,3812,62092
Jordan,1,307,2296,1270,446,426,654,5400
Kazakhstan,0,0,0,0,0,31,12,43
Kenya,0,1,153,115,4,0,34,307
Kosovo,0,0,0,0,0,0,1,1
Kuwait,0,0,735,337,3349,318,1374,6113
Laos,12,82,87,0,0,0,0,181
Latvia,0,0,0,0,0,22,67,89
Lebanon,43,26,14,190,107,21,253,654
Lesotho,0,0,0,0,5,0,0,5
Liberia,1,20,4,2,0,0,0,27
Libya,0,114,227,0,0,0,9,350
Lithuania,0,0,0,0,0,31,8,39
Luxembourg,0,0,1,1,4,1,0,7
Madagascar,0,0,0,0,0,0,0,0
Malawi,0,0,0,0,9,0,0,9
Malaysia,0,76,630,388,603,88,49,1834
Mali,0,2,0,0,13,0,0,15
Malta,0,0,0,0,0,0,24,24
Marshall Islands,0,0,0,2,0,0,0,2
Mauritania,0,0,0,15,4,0,2,21
Mauritius,0,0,0,0,0,0,1,1
Mexico,31,268,407,573,622,526,787,3214
Micronesia,0,0,0,2,2,0,0,4
Montenegro,0,0,0,0,0,0,15,15
Mongolia,0,0,0,0,0,0,0,0
Morocco,0,314,814,868,454,27,2107,4584
Myanmar,27,92,103,20,0,0,0,242
Namibia,0,0,0,0,3,0,5,8
NATO,0,0,0,4500,0,420,78,4998
Nepal,0,0,0,1,0,0,2,3
Netherlands,2822,3366,2810,6471,1658,1024,941,19092
New Zealand,0,312,203,87,139,146,148,1035
Nicaragua,30,26,36,27,0,0,0,119
Niger,0,0,56,0,0,0,14,70
Nigeria,0,0,183,148,18,16,136,501
North Korea,0,0,0,62,0,0,0,62
North Macedonia,0,0,0,0,6,5,0,11
North Yemen,4,0,426,0,0,0,0,430
Norway,1627,2156,220,2318,527,519,1495,8862
Oman,0,2,35,176,112,530,774,1629
Pakistan,1112,494,472,2521,517,1300,2091,8507
Panama,0,3,71,19,8,5,26,132
Papua New Guinea,0,0,0,2,2,0,0,4
Paraguay,7,25,5,2,0,0,2,41
Peru,451,289,676,408,71,133,35,2063
Philippines,225,385,960,282,205,85,298,2440
Poland,0,0,0,0,2,2062,262,2326
Portugal,1088,331,253,663,757,414,233,3739
Puerto Rico,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,1,280,3027,3308
Romania,0,0,0,0,94,77,165,336
Rwanda,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,6,0,0,0,6
Saint Vincent,0,0,0,4,0,0,0,4
Saudi Arabia,126,575,3511,9145,12938,1531,15469,43295
Senegal,0,0,0,0,0,0,4,4
Serbia,0,0,0,0,0,0,0,0
Seychelles,0,0,0,2,0,0,2,4
Sierra Leone,0,0,1,0,0,0,0,1
Singapore,0,6,1059,1789,1638,2543,3121,10156
Slovakia,0,0,0,0,0,0,51,51
Slovenia,0,0,0,0,58,0,1,59
Somalia,0,0,0,106,0,0,1,107
South Africa,261,198,54,14,27,64,38,656
South Korea,2705,3190,5476,8167,10336,7629,6906,44409
South Sudan,0,0,0,0,0,0,2,2
Spain,1175,1410,4074,4946,2577,977,257,15416
Sri Lanka,0,2,5,83,57,40,64,251
Sudan,0,7,168,151,0,0,0,326
Suriname,0,0,0,0,3,0,0,3
Sweden,42,546,769,816,526,329,368,3396
Switzerland,3,361,806,1369,1919,34,147,4639
Syria,10,0,0,0,0,0,0,10
Taiwan,3973,3546,4848,4537,12182,2756,3594,35436
Tanzania,0,0,6,3,0,0,0,9
Thailand,395,922,1403,1662,1911,373,318,6984
Togo,0,0,0,1,6,0,0,7
Tonga,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,7,0,11,24,42
Tunisia,0,39,98,446,102,50,244,979
Turkey,3138,4179,5559,3095,11932,1835,3690,33428
Turkmenistan,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,82,481,532,4312,6910,12317
Uganda,0,3,23,14,0,2,21,63
Ukraine,0,0,0,0,0,0,31,31
United Kingdom,4513,6658,1225,3466,5232,4222,3174,28490
United States of America,69716,87518,126084,121305,126255,66461,95636,692975
Uruguay,140,55,104,51,44,0,0,394
Uzbekistan,0,0,0,0,0,0,36,36
Venezuela,278,165,638,786,101,31,6,2005
Vietnam,194,1961,4752,0,0,0,54,6961
Yemen,0,0,0,0,0,8,26,34
Yugoslavia,2693,232,6,76,0,0,0,3007
Zambia,0,0,0,0,0,0,6,6
Zimbabwe,0,1,0,0,0,0,0,1
Total,69716,87518,126084,121305,126255,66461,95636,692975
