year,France,Serbia,Croatia,Spain,Germany,Lithuania,Greece,Turkey,Italy,Russia,Slovenia,England,Georgia,Ukraine,Bosnia and Herzegovina,Montenegro,Latvia,Czech Republic,Israel,Netherlands,Macedonia,Poland,Finland,Ireland,Sweden,Switzerland,Austria,Belarus,Belgium,Denmark,Estonia,Hungary,Iceland,Luxembourg,Norway,Portugal,Romania,Slovakia
1980,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1983,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1984,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1985,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1986,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1987,1,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1988,1,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1989,1,1,1,2,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1990,1,1,2,2,3,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1991,1,1,2,2,3,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1992,1,1,2,2,3,1,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1993,1,1,4,2,4,1,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
1994,1,1,5,2,4,1,0,0,1,1,0,2,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
1995,1,2,5,2,4,2,0,0,3,1,0,3,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
1996,1,2,5,2,4,3,0,0,3,1,0,3,0,1,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1
1997,2,2,5,2,4,3,0,0,3,1,1,3,0,1,0,0,1,1,0,3,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1
1998,2,2,6,2,5,3,0,1,3,2,2,3,2,1,0,0,1,1,1,3,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1
1999,2,2,6,2,5,3,1,1,3,3,2,3,2,1,1,0,1,1,1,3,1,1,0,2,0,0,0,0,0,0,1,1,1,0,1,0,1,1
2000,3,2,7,2,5,3,2,2,3,3,2,3,2,2,1,0,1,1,1,3,1,1,1,2,0,0,0,0,0,0,1,1,1,0,1,0,1,1
2001,4,4,7,3,5,3,3,3,3,3,3,3,2,2,2,2,1,1,1,3,1,1,1,2,0,0,0,0,0,0,1,1,1,1,1,0,1,1
2002,4,7,8,4,5,3,3,3,3,3,4,4,3,2,3,3,1,2,1,4,1,2,1,3,0,0,0,0,0,0,1,1,1,1,1,0,1,1
2003,7,8,9,4,6,4,3,3,3,4,4,5,4,2,3,5,1,2,1,5,1,3,1,3,0,0,0,0,0,0,1,1,1,1,1,0,1,1
2004,7,9,10,4,6,4,3,4,3,6,6,7,4,2,3,5,2,2,1,5,1,3,1,3,0,0,0,0,1,0,1,1,1,1,1,0,1,1
2005,9,9,10,5,6,8,3,5,4,8,6,7,5,2,3,5,2,2,1,5,1,3,1,3,0,0,0,0,1,0,1,1,1,1,1,0,1,1
2006,11,10,11,7,6,8,5,5,5,8,7,8,5,2,3,5,2,2,1,5,1,3,1,3,0,1,0,0,1,0,1,1,1,1,1,0,1,1
2007,13,12,11,8,6,8,5,5,6,8,7,8,6,4,3,5,2,2,1,5,2,4,1,3,0,1,0,0,1,0,1,1,1,1,1,0,1,1
2008,15,13,12,10,6,8,6,7,7,8,9,8,6,4,3,6,2,2,1,5,2,4,1,3,0,1,0,0,1,0,1,1,1,1,1,0,1,1
2009,16,13,12,11,6,8,6,7,7,8,9,9,6,5,3,6,2,2,2,5,2,4,1,3,1,1,0,0,1,0,1,1,1,1,1,0,1,1
2010,18,14,13,11,6,8,6,7,7,9,9,9,6,6,3,6,2,2,2,5,2,4,1,3,1,1,0,0,1,0,1,1,1,1,1,0,1,1
2011,18,14,13,12,6,8,6,8,7,9,9,9,6,6,3,7,2,3,2,5,2,4,1,3,1,1,0,0,1,0,1,1,1,1,1,0,1,1
2012,20,14,13,13,6,10,6,9,7,10,9,10,8,6,4,7,2,3,2,5,2,4,1,3,2,1,0,1,1,0,1,1,1,1,1,0,1,1
2013,21,14,13,14,9,10,8,10,8,11,9,10,8,7,4,7,2,3,3,5,3,4,2,3,2,1,0,1,1,0,1,1,1,1,1,0,1,1
2014,21,18,17,15,9,10,9,10,8,11,10,10,8,7,5,7,2,3,3,5,4,4,2,3,2,2,0,1,1,0,1,1,1,1,1,0,1,1
2015,23,20,18,15,10,10,9,11,8,12,10,10,8,7,5,7,3,3,3,5,4,4,2,3,2,2,0,1,1,0,1,1,1,1,1,0,1,1
2016,25,21,21,18,11,12,11,12,8,13,10,10,8,7,5,7,4,4,3,5,4,4,2,3,2,2,1,1,1,0,1,1,1,1,1,0,1,1
2017,27,24,22,18,13,12,12,12,9,13,11,11,9,7,5,7,4,4,4,5,5,4,3,3,2,2,1,1,1,0,1,1,1,1,1,0,1,1
2018,28,24,22,18,16,12,13,12,9,13,12,11,9,8,6,7,6,4,4,5,5,4,3,3,2,2,1,1,1,0,1,1,1,1,1,0,1,1
2019,33,25,23,18,16,13,13,12,10,13,13,11,10,8,6,7,7,4,4,5,5,4,3,3,2,2,1,1,1,0,1,1,1,1,1,0,1,1
2020,36,26,23,18,16,14,13,12,11,13,13,11,10,8,6,7,7,4,5,5,5,4,3,3,2,2,1,1,1,0,1,1,1,1,1,0,1,1
2021,40,27,23,20,17,15,14,14,11,13,13,11,11,8,7,7,7,5,5,5,5,4,3,3,2,2,1,1,1,0,1,1,1,1,1,1,1,1
2022,42,28,23,20,17,15,14,14,13,13,13,11,11,8,8,7,7,5,5,5,5,5,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1