year,France,Spain,Germany,Serbia,Turkey,Lithuania,Slovenia,Croatia,Italy,England,Greece,Montenegro,Russia,Latvia,Switzerland,Bosnia and Herzegovina,Ukraine,Poland,Georgia,Netherlands,Czech Republic,Finland,Israel,Austria,Sweden,Belgium,Ireland,Romania,Macedonia,Estonia,Hungary,Denmark,Portugal,Iceland,Luxembourg,Belarus,Slovakia,Norway
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,470000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,490000,0,0,0,0,0,0,985000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,490000,0,0,0,0,0,0,985000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,75000,1397500,0,0,0,0,0,0,1485000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175000,0,0,0,0
1988,0,75000,2385000,0,0,0,0,0,0,2085000,0,0,0,0,0,0,0,0,0,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,450000,0,0,0,0
1989,0,75000,2385000,770000,0,1400000,0,1300000,0,2085000,0,0,0,0,0,0,0,0,0,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,450000,0,0,0,200000
1990,0,75000,3545000,1712000,0,2670000,0,2722000,455000,2965000,0,0,0,0,0,0,0,0,0,2150000,0,0,0,0,0,0,0,0,0,0,0,0,0,450000,0,0,0,200000
1991,0,75000,4823000,5345000,0,3937000,0,4762000,911000,3845000,0,0,0,0,0,0,0,0,0,3500000,0,0,0,0,0,0,130000,0,0,0,0,0,0,450000,0,0,0,200000
1992,0,75000,6216000,9478000,0,5437000,0,7919000,1367000,3845000,0,0,0,275000,0,0,0,0,0,5500000,0,0,0,0,0,0,330000,0,0,0,0,0,0,450000,0,0,0,200000
1993,0,75000,10224000,12811300,0,7337000,0,11425000,1823000,3845000,0,0,0,575000,0,0,0,0,0,8000000,0,0,0,0,0,0,580000,500000,0,0,0,0,0,450000,0,0,150000,200000
1994,0,75000,18734000,16144300,0,9437000,0,18161000,1973000,3845000,0,0,168000,575000,0,0,0,0,0,11500000,0,0,0,0,0,0,762500,1650000,0,0,0,0,0,450000,0,0,205000,200000
1995,0,75000,28054000,22317300,0,14037000,0,25011000,2888000,4045000,0,0,168000,575000,0,0,0,0,0,15250000,603000,0,0,0,0,0,1927500,3613000,0,0,0,0,0,450000,0,0,205000,200000
1996,0,75000,36517000,29042633,0,19897000,0,37984000,2888000,4045000,0,0,168000,575000,0,0,1068000,0,0,19250000,1297000,0,0,0,0,0,3375000,5976000,0,401000,0,0,0,450000,0,0,205000,200000
1997,1226880,75000,45790333,37342633,0,23805000,242000,49574000,2888000,4045000,0,0,168000,575000,0,0,2296560,242000,0,23250000,2081200,0,0,0,0,0,3375000,7863500,0,1076120,0,0,0,450000,0,0,205000,200000
1998,2637880,75000,57345973,46180407,739400,41805000,592000,62131500,2888000,4045000,0,0,455500,575000,0,0,3635560,242000,543000,31750000,2081200,0,287500,0,0,0,4037500,8338500,287500,1839320,287500,0,0,450000,0,0,205000,200000
1999,4232800,75000,68489013,55820407,1570145,61753481,1642240,70487000,2888000,4430000,658700,0,1087900,575000,0,1325760,7445560,242000,1743320,44000000,2081200,0,287500,0,0,0,5406968,8848500,672500,1839320,490441,0,0,450000,0,0,205000,200000
2000,10194760,75000,80752573,66265049,3770785,73003481,2765800,78279000,2888000,5030000,1421900,0,1087900,575000,0,2750880,12052529,242000,3042480,44000000,2081200,316969,287500,0,0,0,6509768,8848500,672500,1839320,988941,0,0,450000,0,0,205000,200000
2001,17573380,3045840,87410168,82465125,4986865,84253481,5240748,87606273,2888000,7205000,2575117,770788,1919020,575000,0,4608297,17280879,242000,5358330,44000000,2081200,782819,287500,0,0,0,7689488,8848500,672500,1839320,988941,0,0,450000,332817,0,205000,200000
2002,25679980,6817680,101477918,100276933,7287785,99628481,9706881,98524655,2888000,9946958,4356157,1646659,3590714,575000,0,5802785,23919629,1742000,11239250,44349458,3315280,782819,287500,0,0,0,8038946,8848500,672500,1839320,988941,0,0,450000,332817,0,205000,200000
2003,36872706,10856200,118698737,114645533,10383396,120345412,17564921,112451420,2888000,13959197,6908019,5497667,4851045,575000,0,6366464,31174629,4171000,15829299,45280068,4641880,782819,287500,0,0,0,8038946,8848500,672500,1839320,988941,0,0,450000,332817,0,205000,200000
2004,49811747,16172001,137857665,126251437,24386396,136570412,28461647,121760463,2888000,21692357,10324884,9360467,7888125,2302760,0,6366464,40365879,6771000,20459945,46595160,6061120,782819,287500,0,0,800000,8038946,8848500,672500,1839320,988941,0,0,450000,332817,0,205000,200000
2005,65889317,31099314,158954581,137562832,40188458,155288534,42246887,129569793,3286762,28710797,13224884,10764827,23829525,4160120,0,6366464,46685879,7671000,25229508,52064533,8238234,782819,287500,0,0,1680000,8788946,8848500,672500,1839320,988941,0,0,450000,332817,0,205000,200000
2006,84599555,50458648,182347974,153116934,54986267,174490800,57131445,135052062,8452171,35690035,18085945,12921924,39898205,6147080,1679280,6366464,50985595,7671000,30979508,60316598,8238234,782819,287500,0,0,3308959,9598946,8848500,672500,1839320,988941,0,0,450000,332817,0,205000,200000
2007,113981671,72020342,207308068,169802894,69860167,190086316,71763841,139052062,16136851,43892043,20029945,12921924,55561803,8783776,3484440,6366464,53081395,8098163,35406671,69067728,8238234,782819,287500,0,0,5792528,9598946,8848500,827347,1839320,988941,0,0,450000,332817,0,205000,200000
2008,152768204,103056493,234885972,187650842,85224367,206987424,94790580,140302062,27253531,60011992,21159265,12921924,70667803,17783776,5415600,6366464,55338115,8809680,39406671,77017923,8238234,782819,287500,0,0,8645127,9598946,8848500,827347,1839320,988941,0,0,450000,332817,0,205000,200000
2009,192739685,135145057,265081686,207017442,105324367,223054498,111485940,140605294,40157702,81867078,22373305,12921924,87119803,26783776,8175228,6366464,57755755,14663680,44156671,85467183,8238234,782819,1454500,0,457588,9604238,9598946,8848500,827347,1839320,988941,0,0,450000,332817,0,205000,200000
2010,237537821,167898937,294160304,223769358,130000321,234219679,130127373,140605294,54342532,105216278,23725945,16921924,108509899,35783776,11425228,6366464,59316859,20986000,48407921,93861845,8238234,782819,2708980,0,1219783,10673747,9598946,8848500,827347,1839320,988941,0,0,450000,332817,0,205000,200000
2011,290243432,216265036,327283177,229898039,161200146,238824679,142072004,140605294,71160318,130429478,25929737,23070924,111853795,44783776,14725228,6366464,59316859,27776640,53157921,94167637,11303274,782819,4050940,0,5719783,10673747,9598946,8848500,827347,1839320,988941,0,0,450000,332817,0,205000,200000
2012,346278497,267497168,356190305,236637300,193734002,248505919,158618645,140605294,92556318,161401296,28929737,29676924,127708183,53783776,18325228,9456464,59316859,35035600,59353879,94167637,14598234,782819,6328246,0,10794783,10673747,9598946,8848500,827347,1839320,988941,0,0,450000,332817,217301,205000,200000
2013,398101881,326300598,383587753,236637300,228050888,253455079,169140924,140605294,117315743,192722179,33722297,43570444,139909023,62783776,22225228,12685514,64309579,42762880,65342751,94167637,17939154,1272999,7276153,0,16083655,10673747,9598946,8848500,827347,1839320,988941,0,0,450000,332817,217301,205000,200000
2014,457668757,380568179,398841787,236637300,256074778,258617359,182505386,145799776,144294343,209950152,44211979,58421704,152701154,62783776,27564428,17816294,67959499,53197662,70542751,94167637,17939154,1372999,9789993,0,21498898,10673747,9598946,8848500,2584683,1839320,988941,0,0,450000,332817,217301,205000,200000
2015,520870812,445489920,416938521,241937300,295874778,265566046,202862394,154641359,165666974,220101764,54015939,81771704,160550994,66915496,32807148,25158294,71766619,64415053,75742751,94167637,17939154,1372999,13105753,0,26498898,10673747,9598946,8848500,3429742,1839320,988941,0,0,450000,332817,217301,205000,200000
2016,624836365,539196154,448397103,247095800,331325110,285862992,221714651,173891839,187373906,238101764,67365988,105621704,178484414,71776687,37953388,37579614,76590240,76415053,78640751,94167637,20809967,1372999,16559927,2703960,31498898,10673747,9598946,8848500,3429742,1839320,988941,0,0,450000,332817,217301,205000,200000
2017,749843966,635893096,472340944,261987795,373859312,306898702,238879039,199319330,215090782,256936964,101607429,117871704,195077025,77592898,45537908,51026919,80777839,89197662,82620351,94167637,23809967,5194639,18549905,5529600,35498898,10673747,9598946,8848500,3931742,1839320,988941,0,0,450000,332817,217301,205000,200000
2018,870182995,736086780,499197972,303782976,415936898,326157648,263548854,228005161,244181590,275637678,138384875,130621704,211077025,86405438,66081012,67270270,86615533,102762880,85014238,94167637,26939154,9730759,23133725,8476920,37664379,10673747,9598946,8848500,3931742,1839320,988941,0,0,450000,332817,217301,205000,200000
2019,975080766,811690389,532595196,347491085,435231605,346585513,291348424,258046050,279745867,282919478,166175269,158621704,216650358,122871818,83542317,84681870,92192385,102762880,87830998,94167637,36314154,15031159,25947005,12231806,37664379,10673747,9598946,8848500,3931742,1839320,988941,0,0,450000,332817,217301,205000,200000
2020,1062461461,847851706,567588536,402183095,451613572,383950334,318915765,296097381,306645303,291791693,195906950,184621704,222223692,169494067,99542317,99573559,97379618,102762880,90788518,94167637,46314154,21762667,34742990,20333658,37664379,10673747,9598946,8848500,3931742,1839320,988941,0,0,450000,332817,217301,205000,200000
2021,1154429664,890916097,600704378,453708224,471873793,419064784,350221684,324235979,327912101,312863122,237496942,208621704,222223692,217144667,116645765,112498817,102840835,102762880,94388918,94167637,57239412,37453576,39435830,29083658,37664379,10673747,9598946,8848500,3931742,1839320,988941,0,502000,450000,332817,217301,205000,200000
2022,1237712364,901597138,622767537,490559466,487675241,452999784,391388633,364737979,344305627,330220265,282377045,230621704,222223692,217144667,134852662,128123817,108595525,107826400,99656257,94167637,58802930,53929030,44351990,38481806,37664379,10673747,9598946,8848500,3931742,1839320,988941,502000,502000,450000,332817,217301,205000,200000